branch	branch_url	first_commit	last_commit	days_idle	tip_author	author_in_sourcegraph_org	ahead_of_main	behind_main	pr_number	pr_url	pr_opened	pr_author	pr_author_in_sourcegraph_org	pr_status	assessment	change_summary	still_valid
marc/test-pr-checks-remediated-2	https://github.com/sourcegraph/docs/tree/marc/test-pr-checks-remediated-2	2026-09-11	2026-09-11	0	marcleblanc2	yes	14	1	1949	https://github.com/sourcegraph/docs/pull/1949	2026-09-11	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=SUCCESS	WIP: draft PR	Test PR (do not merge): same bundle as marc/test-pr-checks-broken-2 with the deliberate breakages fixed, to show the checks going green.	N/A: tooling/test/formatting/link fixes, no product claims
marc/todo/vercel-audit	https://github.com/sourcegraph/docs/tree/marc/todo/vercel-audit	2026-09-11	2026-09-11	0	marcleblanc2	yes	5	8	1941	https://github.com/sourcegraph/docs/pull/1941	2026-09-11	marcleblanc2	yes	open review=REVIEW_REQUIRED merge=DIRTY checks=FAILURE	ACTIVE: open PR	Site tooling/docs only: adds dev/TODO.md listing Vercel audit follow-ups (redirects in next.config, static markdown routes, Fluid compute, build-failure reporting, lint warnings) plus two cspell allow-list words.	N/A: tooling/test/formatting/link fixes, no product claims
merge-project-admin-docs	https://github.com/sourcegraph/docs/tree/merge-project-admin-docs	2024-09-17	2024-09-19	721	anorrish	yes	13	964						no PR	DELETE?: no PR, idle >180d	Reworks the administration landing page and initial-configuration quickstart around deployment, code-host connection, authentication/permissions, code navigation, monitoring, and inviting users, and adds an administration links directory. It ranks Cloud, Kubernetes Helm, Docker Compose, Kustomize, and machine images as the recommended deployment order and says Kubernetes is the recommended self-hosted method while Docker Compose is the single-node option.	PARTIALLY OUTDATED: Cloud > Helm > Compose order already in deploy/index.mdx; Kustomize and machine images no longer in the recommended list (https://sourcegraph.sourcegraph.com/deepsearch/a09b0e4c-0875-4195-b1ad-ab142e29f646)
migrate-telemetry	https://github.com/sourcegraph/docs/tree/migrate-telemetry	2025-06-23	2025-06-23	444	MaedahBatool	no	2	532	1198	https://github.com/sourcegraph/docs/pull/1198	2025-06-23	MaedahBatool	no	closed unmerged 2025-06-24	DELETE: PR closed without merge; author left org	Adds a telemetry development reference describing migration from old telemetry APIs to the new SDK/backend recorder framework: events remain on their Sourcegraph instance, are best-effort copied to event_logs, queued, and periodically exported through Telemetry Gateway to the data warehouse.	VALID: telemetry V2 recorder / event_logs tee / Telemetry Gateway pipeline exists; docs main has only admin-facing telemetry pages. Worth salvaging (https://sourcegraph.sourcegraph.com/deepsearch/0223cab2-d3a8-48a3-b728-693f8ded4396)
mohammad/brokenlink_fix	https://github.com/sourcegraph/docs/tree/mohammad/brokenlink_fix		2023-12-22	993		unknown (no GitHub login on commit)	0	1648	15	https://github.com/sourcegraph/docs/pull/15	2023-12-22	mohammadualam	no	merged 2023-12-22	DELETE: no commits beyond main	no diff: branch tip is already in main	N/A: no diff, branch tip is already in main
mohammadualam-fixbrokenlink2-1	https://github.com/sourcegraph/docs/tree/mohammadualam-fixbrokenlink2-1		2023-12-24	992		unknown (no GitHub login on commit)	0	1645	16	https://github.com/sourcegraph/docs/pull/16	2023-12-24	mohammadualam	no	merged 2023-12-24	DELETE: no commits beyond main	no diff: branch tip is already in main	N/A: no diff, branch tip is already in main
morgan-updates0404	https://github.com/sourcegraph/docs/tree/morgan-updates0404	2024-04-05	2024-04-05	889	morgangauth	no	1	1289						no PR	DELETE?: no PR, idle >180d; author left org	Adds a note to the authentication overview that an OpenID Connect issuer can be found in the provider's /.well-known/openid-configuration document.	ALREADY DOCUMENTED on main (https://sourcegraph.sourcegraph.com/deepsearch/44d74fd9-7e50-41dd-996b-3190bd2828fe)
morgangauth-typo-1	https://github.com/sourcegraph/docs/tree/morgangauth-typo-1	2025-02-05	2025-02-05	582	morgangauth	no	1	718	960	https://github.com/sourcegraph/docs/pull/960	2025-02-05	morgangauth	no	closed unmerged 2025-02-05	DELETE: PR closed without merge; author left org	No substantive change (typo and grammar fixes only in the Postgres 12-to-16 drift guide).	N/A: typo/grammar fixes only in the PG12-16 drift guide
new-models	https://github.com/sourcegraph/docs/tree/new-models	2025-04-30	2025-04-30	498	MaedahBatool	no	1	598	1113	https://github.com/sourcegraph/docs/pull/1113	2025-04-30	MaedahBatool	no	closed unmerged 2025-05-01	DELETE: PR closed without merge; author left org	Updates Cody's supported-model table to add OpenAI o3, o4-mini, GPT-4.1, GPT-4.1-mini, and GPT-4.1-nano, and Google Gemini 2.5 Pro Preview and 2.5 Flash Preview; it replaces Gemini 2.0 Flash-Lite Preview with Gemini 2.0 Flash and marks model availability for autocomplete, chat, and commands.	OUTDATED: Claude 3.7, o3, o4-mini, GPT-4.1, Gemini 2.5 Pro no longer in the model catalog (https://sourcegraph.sourcegraph.com/deepsearch/39ca144e-3a89-49e6-9065-47d3495e7ed4)
noah-berman-add-warning-allowsignup	https://github.com/sourcegraph/docs/tree/noah-berman-add-warning-allowsignup	2024-10-22	2024-10-22	689	noah-berman	no	1	912	728	https://github.com/sourcegraph/docs/pull/728	2024-10-22	noah-berman	no	closed unmerged 2024-10-22	DELETE: PR closed without merge; author left org	Adds a warning to built-in authentication docs that allowSignup bypasses duplicate-email validation and should only be enabled when users are not provisioned by another mechanism.	NOT FOUND: allowSignup does not bypass duplicate-email checks in current code (https://sourcegraph.sourcegraph.com/deepsearch/44d74fd9-7e50-41dd-996b-3190bd2828fe)
noah-berman-docker-compose-release-version-quick-fix	https://github.com/sourcegraph/docs/tree/noah-berman-docker-compose-release-version-quick-fix	2024-09-05	2024-09-05	735	noah-berman	no	1	989	627	https://github.com/sourcegraph/docs/pull/627	2024-09-05	noah-berman	no	closed unmerged 2025-07-21	DELETE: PR closed without merge; author left org	Changes Docker Compose installation instructions to stop recommending hard-coded v5.3.9104, instead directing users to the changelog for the latest version and showing an empty SOURCEGRAPH_VERSION in vX.X.XX format.	OUTDATED: main uses the {CURRENT_VERSION} placeholder; no hard-coded 5.3.9104 remains (https://sourcegraph.sourcegraph.com/deepsearch/a09b0e4c-0875-4195-b1ad-ab142e29f646)
noahberman-add-versions-5.4-5.5-redirect	https://github.com/sourcegraph/docs/tree/noahberman-add-versions-5.4-5.5-redirect	2024-08-14	2024-08-14	758	noah-berman	no	1	1038						no PR	DELETE?: no PR, idle >180d; author left org	Changes Next.js site routing to send /docs/v/5.4 and /docs/v/5.5 through /docs/@VERSION and then to the corresponding versioned Sourcegraph documentation domains; this is site tooling only.	OUTDATED: src/middleware.ts handles /v/X.Y generically (https://sourcegraph.sourcegraph.com/deepsearch/90890366-ec4b-497d-8afc-2876cd37041b)
noahberman-fix-docs-redirect-older-versions	https://github.com/sourcegraph/docs/tree/noahberman-fix-docs-redirect-older-versions	2024-08-14	2024-08-14	758	noah-berman	no	2	1042	567	https://github.com/sourcegraph/docs/pull/567	2024-08-14	noah-berman	no	closed unmerged 2024-08-15	DELETE: PR closed without merge; author left org	Replaces hard-coded Next.js redirects for documentation versions 5.2 and 5.3 with generic version routes that redirect /docs/v/VERSION and /docs/@VERSION to VERSION.sourcegraph.com; this is site tooling only.	OUTDATED: src/middleware.ts already has the generic version redirect (https://sourcegraph.sourcegraph.com/deepsearch/90890366-ec4b-497d-8afc-2876cd37041b)
olafurpg/api-component	https://github.com/sourcegraph/docs/tree/olafurpg/api-component	2024-10-27	2024-10-27	683	olafurpg	no	3	905						no PR	DELETE?: no PR, idle >180d; author left org	Adds a Cody API documentation page and an MDX OpenAPI renderer for POST /.api/cody/context, POST /.api/llm/chat/completions, GET /.api/llm/models, and GET /.api/llm/models/{modelId}. It also adds scripts to compile/watch Sourcegraph's TypeSpec API definition and refresh the rendered specification.	PARTIALLY VALID: TypeSpec in internal/openapi exists and docs point to /api-reference; branch's custom renderer likely superseded (https://sourcegraph.sourcegraph.com/deepsearch/15cee0a2-d598-4086-9f0b-b1b68cdf8504)
olafurpg/openapi-react-component	https://github.com/sourcegraph/docs/tree/olafurpg/openapi-react-component	2024-10-28	2024-10-28	682	olafurpg	no	1	905	738	https://github.com/sourcegraph/docs/pull/738	2024-10-28	olafurpg	no	closed unmerged 2024-10-28	DELETE: PR closed without merge; author left org	Adds a Cody API documentation page and an MDX OpenAPI renderer for POST /.api/cody/context, POST /.api/llm/chat/completions, GET /.api/llm/models, and GET /.api/llm/models/{modelId}. It also adds scripts to compile/watch Sourcegraph's TypeSpec API definition and refresh the rendered specification.	PARTIALLY VALID: same as olafurpg/api-component; custom OpenAPI React renderer likely superseded (https://sourcegraph.sourcegraph.com/deepsearch/15cee0a2-d598-4086-9f0b-b1b68cdf8504)
olafurpg-cody-3224-document-new-public-api-on-sourcegraphcomdocs	https://github.com/sourcegraph/docs/tree/olafurpg-cody-3224-document-new-public-api-on-sourcegraphcomdocs	2024-10-02	2024-10-09	702	olafurpg	no	6	939	700	https://github.com/sourcegraph/docs/pull/700	2024-10-09	olafurpg	no	closed unmerged 2024-10-11	DELETE: PR closed without merge; author left org	Adds a themed, standalone OpenAPI REST API explorer for the work-in-progress Cody API, covering context retrieval, LLM chat completions, model listing, and model lookup endpoints. It also adds tooling to compile/watch the Sourcegraph TypeSpec definition and copy its generated OpenAPI YAML into the site.	PARTIALLY VALID: public API exists; docs main links /api-reference instead of hand-written pages (https://sourcegraph.sourcegraph.com/deepsearch/15cee0a2-d598-4086-9f0b-b1b68cdf8504)
omnibox-docs	https://github.com/sourcegraph/docs/tree/omnibox-docs	2025-01-20	2025-01-28	590	jdorfman	yes	34	740	905	https://github.com/sourcegraph/docs/pull/905	2025-01-20	MaedahBatool	no	closed unmerged 2025-01-29	DELETE: PR closed without merge	Introduces Omnibox/Sourcegraph Chat documentation for intent detection between AI chat and code-search responses, personalized smart-search results, and reusable search context. It documents Enterprise Starter/Enterprise query workflows for symbol search, file search, exact string literals, and error lookups, and refreshes Cody Web, prompts, VS Code, and JetBrains pages for the new interface.	NOT FOUND: no Omnibox / Sourcegraph Chat intent-detection feature in current code (https://sourcegraph.sourcegraph.com/deepsearch/15cee0a2-d598-4086-9f0b-b1b68cdf8504)
patch-1	https://github.com/sourcegraph/docs/tree/patch-1	2025-10-21	2025-11-12	302	jdorfman	yes	2	387						no PR	DELETE?: no PR, idle >180d	Adds a Stream API note linking to the community-maintained source-graph-stream-client for TypeScript/JavaScript on Node.js, browsers, and Deno.	ALREADY DOCUMENTED: community stream client listed in api/stream-api/index.mdx (https://sourcegraph.sourcegraph.com/deepsearch/0223cab2-d3a8-48a3-b728-693f8ded4396)
peterguy/fix-redirect-with-latest-version	https://github.com/sourcegraph/docs/tree/peterguy/fix-redirect-with-latest-version	2025-01-24	2025-01-24	594	peterguy	yes	1	750	923	https://github.com/sourcegraph/docs/pull/923	2025-01-24	peterguy	yes	closed unmerged 2025-01-28	DELETE: PR closed without merge	Fixes middleware routing so URLs containing the configured latest version under /v/VERSION or /@VERSION are redirected to the equivalent unversioned documentation path; this is site tooling only.	OUTDATED: src/middleware.ts handles latest-version redirects (https://sourcegraph.sourcegraph.com/deepsearch/90890366-ec4b-497d-8afc-2876cd37041b)
peterguy/update-insights-loc-file-counts	https://github.com/sourcegraph/docs/tree/peterguy/update-insights-loc-file-counts	2025-06-24	2025-06-24	443	peterguy	yes	2	527	1206	https://github.com/sourcegraph/docs/pull/1206	2025-06-24	peterguy	yes	closed unmerged 2025-06-24	DELETE: PR closed without merge	Adds Code Insights Inventory Stats docs for tracking file counts, lines of code, file size, and language trends. It says five inventory environment variables moved to site configuration with defaults, and adds INSIGHTS_INVENTORY_BATCH_SIZE to control repositories per worker batch and memory use.	ALREADY DOCUMENTED in inventory-stats.mdx incl. INSIGHTS_INVENTORY_BATCH_SIZE (https://sourcegraph.sourcegraph.com/deepsearch/0223cab2-d3a8-48a3-b728-693f8ded4396)
pgsql12-end-of-life	https://github.com/sourcegraph/docs/tree/pgsql12-end-of-life	2024-09-09	2024-11-20	659		unknown (no GitHub login on commit)	3	981	808	https://github.com/sourcegraph/docs/pull/808	2024-11-20	AJKemps	no	closed unmerged 2024-11-20	DELETE: PR closed without merge	Adds a Postgres 12 end-of-life notice saying Sourcegraph 5.10 built-in databases move to Postgres 16 with roughly 2.5 hours of first-upgrade downtime per TB indexed, while external databases must reach Postgres 16 before Sourcegraph 5.12. It also adds Code Search and Cody how-to-video index pages with introductory and advanced training links.	ALREADY DOCUMENTED in self-hosted/postgres.mdx and postgres12-end-of-life-notice.mdx; the before-5.12 deadline wording is stale (https://sourcegraph.sourcegraph.com/deepsearch/a09b0e4c-0875-4195-b1ad-ab142e29f646)
pjlast/add-gerrit-exclude-field	https://github.com/sourcegraph/docs/tree/pjlast/add-gerrit-exclude-field		2024-01-23	962	pjlast	yes	0	1594	53	https://github.com/sourcegraph/docs/pull/53	2024-01-23	pjlast	yes	merged 2024-01-24	DELETE: no commits beyond main	no diff: branch tip is already in main	N/A: no diff, branch tip is already in main
pjlast/licensing-docs-update	https://github.com/sourcegraph/docs/tree/pjlast/licensing-docs-update		2024-01-16	969	pjlast	yes	0	1617	37	https://github.com/sourcegraph/docs/pull/37	2024-01-15	pjlast	yes	merged 2024-01-17	DELETE: no commits beyond main	no diff: branch tip is already in main	N/A: no diff, branch tip is already in main
pr	https://github.com/sourcegraph/docs/tree/pr	2024-06-12	2024-06-12	820	jtibshirani	no	5	1148						no PR	DELETE?: no PR, idle >180d; author left org	Revises Cody context and token-limit docs: Claude 3 Sonnet/Opus get separate 30,000-token @-mention and 15,000-token conversation limits, while other models share 7,000 tokens; tables distinguish Enterprise from Free/Pro and list output limits. It also reframes retrieval methods as keyword search, embeddings, and Sourcegraph Search.	OUTDATED: token limits per tier no longer apply after Free/Pro sunset (https://sourcegraph.sourcegraph.com/deepsearch/39ca144e-3a89-49e6-9065-47d3495e7ed4)
prompting-guide	https://github.com/sourcegraph/docs/tree/prompting-guide	2024-05-29	2024-06-19	813	MaedahBatool	no	5	1121	367	https://github.com/sourcegraph/docs/pull/367	2024-05-29	chris-sev	no	closed unmerged 2025-02-10	DELETE: PR closed without merge; author left org	Adds a Cody prompting guide recommending that users treat Cody like a new teammate, prepare code with descriptive names and documentation, provide specific tasks and file/symbol context, include examples and tests, iterate on prompts, and use Cody for boilerplate, tests, docs, and error handling.	ALREADY DOCUMENTED (https://sourcegraph.sourcegraph.com/deepsearch/15cee0a2-d598-4086-9f0b-b1b68cdf8504)
proxy-setup	https://github.com/sourcegraph/docs/tree/proxy-setup	2024-05-22	2024-05-27	836	arafatkatze	no	4	1197	342	https://github.com/sourcegraph/docs/pull/342	2024-05-22	arafatkatze	no	closed unmerged 2024-05-28	DELETE: PR closed without merge; author left org	Adds a Cody proxy setup guide for HTTP/HTTPS/SOCKS configuration in VS Code and HTTP/SOCKS in JetBrains, including manual settings, authentication, restarts, curl tests, and trusting self-signed certificates on macOS and Windows. It says JetBrains auto-detection is not fully supported and HTTPS proxies are not supported.	ALREADY DOCUMENTED (https://sourcegraph.sourcegraph.com/deepsearch/15cee0a2-d598-4086-9f0b-b1b68cdf8504)
rakeshjosh2003-patch-1	https://github.com/sourcegraph/docs/tree/rakeshjosh2003-patch-1	2025-01-15	2025-01-16	603	rakeshjosh2003	yes	5	763	897	https://github.com/sourcegraph/docs/pull/897	2025-01-15	rakeshjosh2003	yes	closed unmerged 2025-07-21	DELETE: PR closed without merge	Adds a Cody FAQ entry saying API-only models can have custom input/output context windows by using a model override and an empty capabilities list, which prevents the model from appearing in Cody Web or IDEs.	NOT FOUND: no evidence for the claim in current code (https://sourcegraph.sourcegraph.com/deepsearch/39ca144e-3a89-49e6-9065-47d3495e7ed4)
rakeshjosh2003-patch-2	https://github.com/sourcegraph/docs/tree/rakeshjosh2003-patch-2	2025-01-20	2025-01-20	599	rakeshjosh2003	yes	1	763						no PR	DELETE?: no PR, idle >180d	Adds executor troubleshooting for Kubernetes jobs exceeding the 5Gi job-data EmptyDir limit, recommending KUBERNETES_JOB_VOLUME_TYPE=emptyDir and KUBERNETES_JOB_VOLUME_SIZE=20Gi; it says the volume type may be emptyDir or pvc and defaults to emptyDir.	ALREADY DOCUMENTED on main (https://sourcegraph.sourcegraph.com/deepsearch/44d74fd9-7e50-41dd-996b-3190bd2828fe)
rel/changelog/v5.4.2198	https://github.com/sourcegraph/docs/tree/rel/changelog/v5.4.2198	2024-05-23	2024-05-23	841	sourcegraph-bot-devx	bot	1	1193	350	https://github.com/sourcegraph/docs/pull/350	2024-05-23	sourcegraph-bot-devx	bot	closed unmerged 2024-06-10	DELETE: PR closed without merge	Adds a v5.4.2198 changelog covering release-pipeline changes and fixes for Batch Changes window ranges, auth-provider matching, executor AMI names, Cody Ignore errors, lightweight tags, Bedrock ARN handling, username deduplication, and container CVEs.	NOT FOUND on docs main; releases.mdx is now table-driven. 5.4 is out of support, drop (https://sourcegraph.sourcegraph.com/deepsearch/90890366-ec4b-497d-8afc-2876cd37041b)
rel/changelog/v5.7.0	https://github.com/sourcegraph/docs/tree/rel/changelog/v5.7.0	2024-09-05	2024-09-05	735	Chickensoupwithrice	no	1	987	631	https://github.com/sourcegraph/docs/pull/631	2024-09-05	Chickensoupwithrice	no	closed unmerged 2024-09-05	DELETE: PR closed without merge; author left org	Adds a large v5.7-era changelog entry whose product highlights include Batch Changes container-registry allow/deny lists, POST /.api/cody/context, OpenAI-compatible LLM API behavior, Search Jobs enabled unless DISABLE_SEARCH_JOBS is set, Perforce label support/cacheLabels, syntactic Go support, and search/code-navigation fixes.	NOT FOUND on docs main; releases.mdx is now table-driven. 5.7 is out of support, drop (https://sourcegraph.sourcegraph.com/deepsearch/90890366-ec4b-497d-8afc-2876cd37041b)
rel/changelog/v5.10.0-fix	https://github.com/sourcegraph/docs/tree/rel/changelog/v5.10.0-fix	2024-11-27	2024-11-27	653	DaedalusG	yes	3	836	819	https://github.com/sourcegraph/docs/pull/819	2024-11-27	DaedalusG	yes	closed unmerged 2024-11-27	DELETE: PR closed without merge	Adds v5.10 upgrade guidance saying bundled database images move from Postgres 12 to Postgres 16/Wolfi, naming the new postgres16 images and warning external-database users about expected schema drift; automatic upgrades require Postgres 16 or SRC_AUTOUPGRADE_IGNORE_DRIFT=true. It also adds the v5.10 technical changelog, including modelConfiguration.systemPreInstruction, gpt-4o-mini, and a /models.json endpoint.	OUTDATED: SRC_AUTOUPGRADE_IGNORE_DRIFT and migrator --from/--to removed in 6.12; PG16 move already documented (https://sourcegraph.sourcegraph.com/deepsearch/a09b0e4c-0875-4195-b1ad-ab142e29f646)
restimator	https://github.com/sourcegraph/docs/tree/restimator	2024-04-25	2024-04-25	869	MaedahBatool	no	1	1245	277	https://github.com/sourcegraph/docs/pull/277	2024-04-25	MaedahBatool	no	closed unmerged 2024-05-07	DELETE: PR closed without merge; author left org	Adds a Resource Estimator page/component with inputs for deployment type, users, repositories, total/largest repository size, largest LSIF index, and Code Insights. The calculation remains a placeholder that only logs state rather than producing resource estimates.	N/A: unfinished resource estimator placeholder; no product claims
revamp-cody-docs	https://github.com/sourcegraph/docs/tree/revamp-cody-docs	2024-09-17	2024-09-27	714	MaedahBatool	no	13	950	658	https://github.com/sourcegraph/docs/pull/658	2024-09-17	MaedahBatool	no	closed unmerged 2025-07-19	DELETE: PR closed without merge; author left org	Substantially expands Cody chat, VS Code installation, admin configuration, and Enterprise model pages, documenting @-mentions, OpenCtx providers, context filters, prompts, model selection, Ollama/offline use, experimental custom providers, Smart Apply, and inline edits. It claims Claude 3.5 Sonnet is the default for chat/edits, Enterprise can use Claude 3.5 through Gateway/BYOK cloud providers, and Free/Pro can configure experimental Google, Groq, OpenAI-compatible, and Ollama models.	OUTDATED: Free/Pro tiers gone; page structure since rewritten (https://sourcegraph.sourcegraph.com/deepsearch/39ca144e-3a89-49e6-9065-47d3495e7ed4)
schema-sync-	https://github.com/sourcegraph/docs/tree/schema-sync-	2025-07-16	2025-07-16	421	DaedalusG	yes	13	476	1265	https://github.com/sourcegraph/docs/pull/1265	2025-07-16	DaedalusG	yes	closed unmerged 2025-07-16	DELETE: PR closed without merge	Regenerates the code-host, site-settings, site-configuration, and Perforce reference pages from a newer Sourcegraph schema. The refresh documents modelConfiguration provider/model overrides and filters, embeddings controls, deprecated custom Deep Search models, Perforce proxy-rule modes, identity-provider references for code-host permissions, and numerous current authentication, Cody, tracing, and Code Insights settings.	OUTDATED: generated from an older product version; superseded by the sourcegraph-buildkite sync/generated-docs PR #1883. Regenerate, do not merge
schema-sync-6.5.6969	https://github.com/sourcegraph/docs/tree/schema-sync-6.5.6969	2025-07-19	2025-07-19	419	DaedalusG	yes	13	475	1272	https://github.com/sourcegraph/docs/pull/1272	2025-07-19	DaedalusG	yes	closed unmerged 2025-07-19	DELETE: PR closed without merge	Refreshes generated timestamps across code-host, site configuration/settings, and Perforce reference pages to Sourcegraph v6.5.6969; apart from a small Bitbucket Cloud schema adjustment, there is no material hand-written documentation change.	OUTDATED: generated from an older product version; superseded by the sourcegraph-buildkite sync/generated-docs PR #1883. Regenerate, do not merge
schema-sync-6.7.229	https://github.com/sourcegraph/docs/tree/schema-sync-6.7.229	2025-08-22	2025-08-22	385	sourcegraph-bot-devx	bot	13	429	1335	https://github.com/sourcegraph/docs/pull/1335	2025-08-22	sourcegraph-bot-devx	bot	closed unmerged 2025-08-25	DELETE: PR closed without merge	Refreshes generated timestamps across code-host, site configuration/settings, and Perforce reference pages to Sourcegraph v6.7.229; no substantive documentation content changes.	OUTDATED: generated from an older product version; superseded by the sourcegraph-buildkite sync/generated-docs PR #1883. Regenerate, do not merge
schema-sync-6.11.5428	https://github.com/sourcegraph/docs/tree/schema-sync-6.11.5428	2026-01-08	2026-01-08	246	sourcegraph-bot-devx	bot	13	257	1520	https://github.com/sourcegraph/docs/pull/1520	2026-01-08	sourcegraph-bot-devx	bot	closed unmerged 2026-01-08	DELETE: PR closed without merge	Refreshes code-host, site configuration/settings, and Perforce schema references to Sourcegraph v6.11.5428. The site-config example adds entitlements.completionCredits with mode disabled, customGitFetch examples, and maxTimeoutSeconds set to 60.	OUTDATED: generated from an older product version; superseded by the sourcegraph-buildkite sync/generated-docs PR #1883. Regenerate, do not merge
schema-sync-6.11.5639	https://github.com/sourcegraph/docs/tree/schema-sync-6.11.5639	2026-01-09	2026-01-09	245	sourcegraph-bot-devx	bot	13	253	1525	https://github.com/sourcegraph/docs/pull/1525	2026-01-09	sourcegraph-bot-devx	bot	closed unmerged 2026-03-30	DELETE: PR closed without merge	Refreshes generated code-host and site-configuration schema docs from Sourcegraph v6.11.5639. The site-config example adds `entitlements.completionCredits` with a disabled mode, removes `codeIntelAutoIndexing.policyManagementEnabled` and `slackConfigurationKey`, and changes several numeric example values to strings.	OUTDATED: generated from an older product version; superseded by the sourcegraph-buildkite sync/generated-docs PR #1883. Regenerate, do not merge
search-jobs-is-in-beta	https://github.com/sourcegraph/docs/tree/search-jobs-is-in-beta		2024-01-23	962	stefanhengl	yes	0	1588	54	https://github.com/sourcegraph/docs/pull/54	2024-01-23	stefanhengl	yes	merged 2024-01-24	DELETE: no commits beyond main	no diff: branch tip is already in main	N/A: no diff, branch tip is already in main
sg-5.3-dup	https://github.com/sourcegraph/docs/tree/sg-5.3-dup	2024-01-25	2024-02-15	939	MaedahBatool	no	31	1483	100	https://github.com/sourcegraph/docs/pull/100	2024-02-15	MaedahBatool	no	closed unmerged 2024-02-20	DELETE: PR closed without merge; author left org	Reshapes the 5.3-era docs: adds pages for search filters and code-navigation features, expands search-jobs and Cody embeddings explanations, and removes the standalone Cody embeddings configuration/management pages and Cody usage-and-pricing page. It also updates gRPC upgrade material and marks 5.3 as the latest version.	OUTDATED: embeddings removed from the product (remove_embeddings migration); docs main already reflects this (https://sourcegraph.sourcegraph.com/deepsearch/0223cab2-d3a8-48a3-b728-693f8ded4396)
sg-may-release	https://github.com/sourcegraph/docs/tree/sg-may-release	2024-04-25	2025-05-28	470	MaedahBatool	no	2	1244	278	https://github.com/sourcegraph/docs/pull/278	2024-04-25	MaedahBatool	no	closed unmerged 2024-05-07	DELETE: PR closed without merge; author left org	Large 15.8 MB release-working branch sampled from its 1,345-file stat and first 200 KB: it broadly replaces the versioned 5.2 documentation with a newer site, navigation, redirects, branding, and UI/tooling. It adds an AI docs chatbot backed by BaseAI/Langbase, generated `llms.txt`, RSS and sitemap tooling, code-block/tab components, resource and feature-parity components, and supported-model configuration; generated/public files and lockfile churn dominate the diff.	OUTDATED: superseded release-working branch; site, nav and chatbot tooling since rewritten
sg-next-6-9	https://github.com/sourcegraph/docs/tree/sg-next-6-9	2025-10-01	2025-10-01	345	stefanhengl	yes	1	399						no PR	DELETE?: no PR, idle >180d	Adds Deep Search RBAC documentation for `deep_search:read` and `deep_search:write`; both permissions are granted to the User role by default, while site administrators receive all permissions. The Deep Search page says access can be restricted through default or custom roles.	VALID: deep_search:read / deep_search:write RBAC permissions undocumented on main. Worth salvaging that part (https://sourcegraph.sourcegraph.com/deepsearch/7d61aa33-2fff-4c62-a9fe-0abb9929a4ea)
sg-next-may28	https://github.com/sourcegraph/docs/tree/sg-next-may28	2025-05-26	2025-05-28	470	emidoots	yes	6	559	1158	https://github.com/sourcegraph/docs/pull/1158	2025-05-26	MaedahBatool	no	closed unmerged 2025-05-30	DELETE: PR closed without merge	Documents the Sourcegraph 6.4 release, including Deep Search as a disabled-by-default Enterprise research preview requiring Code Search, Cody, and Claude Sonnet 4, plus Bedrock model configuration. It replaces agentic chat docs with agentic context fetching (enabled by default, optional terminal and local MCP tools), documents Batch Changes fail-fast/re-execution, Claude 4 and reasoning-model configuration, and renames the default model field from `autocomplete` to `codeCompletion`.	OUTDATED: stale May-2025 release snapshot (https://sourcegraph.sourcegraph.com/deepsearch/7d61aa33-2fff-4c62-a9fe-0abb9929a4ea)
sh/batch-spec-version-next-release	https://github.com/sourcegraph/docs/tree/sh/batch-spec-version-next-release	2024-06-21	2024-07-08	795	stefanhengl	yes	8	1100						no PR	DELETE?: no PR, idle >180d	Adds Batch Spec YAML `version`, recommending version 2 for new specs and noting that unspecified specs default to version 1; the version controls the default search pattern type. It also reorganizes Code Search query docs, removes structural-search coverage, and substantially revises older Cody Enterprise enablement/model and navigation content.	ALREADY DOCUMENTED: batch spec version 2 on main; branch also removes structural search, which still exists (https://sourcegraph.sourcegraph.com/deepsearch/44d74fd9-7e50-41dd-996b-3190bd2828fe)
sh-remove-cta-for-structural-search	https://github.com/sourcegraph/docs/tree/sh-remove-cta-for-structural-search		2024-01-18	967	stefanhengl	yes	0	1604	42	https://github.com/sourcegraph/docs/pull/42	2024-01-18	stefanhengl	yes	merged 2024-01-22	DELETE: no commits beyond main	no diff: branch tip is already in main	N/A: no diff, branch tip is already in main
sourcegraph-pricing	https://github.com/sourcegraph/docs/tree/sourcegraph-pricing	2025-01-16	2025-01-27	592	MaedahBatool	no	20	744	901	https://github.com/sourcegraph/docs/pull/901	2025-01-16	MaedahBatool	no	closed unmerged 2025-01-29	DELETE: PR closed without merge; author left org	Adds pricing pages for Free, Enterprise Starter, Enterprise, and Starter billing FAQs. It says Starter costs $19/seat/month with up to 50 users, 100 repositories, and 10 GB storage, while Enterprise Dedicated Cloud and Self-Hosted cost $59/user/month; it also documents Free's 200 monthly chat messages, Starter workspace administration, cancellation, payment, and repository indexing.	OUTDATED: Enterprise Starter limits are now 500 seats / 25-50 GB; free-1 plan deprecated; docs main already has pricing/plans pages (https://sourcegraph.sourcegraph.com/deepsearch/90890366-ec4b-497d-8afc-2876cd37041b)
